14
9
1
12
10
3
4
8
5
7
2
11
6
13
0
211	306
182	14	5
187	16	210
113	15	10
17	8	55
69	8	18
50	11	134
19	210	74
113	170	188
120	122	12
85	115	192
192	188	2
58	54	206
139	92	48
111	11	48
188	165	58
48	208	206
209	54	208
75	170	2
170	115	5
115	30	12
206	0	55
96	120	45
96	9	62
85	14	163
116	1	62
62	7	145
74	20	13
110	77	59
93	166	57
57	201	60
107	65	61
205	203	10
113	143	6
123	143	2
143	204	10
79	65	12
201	7	153
94	98	59
159	150	163
30	45	1
182	133	150
139	174	67
174	151	2
113	180	151
76	203	204
65	201	156
151	66	135
56	161	129
97	105	0
93	105	4
161	66	193
56	20	187
199	8	198
145	60	156
173	198	194
76	195	197
197	9	3
194	5	108
66	199	5
116	196	3
108	135	193
193	180	2
67	133	163
129	4	0
25	175	26
113	33	1
99	9	22
33	32	89
105	161	13
93	118	1
93	152	5
175	13	28
173	18	55
114	6	159
28	11	3
177	31	26
107	11	68
64	77	98
184	128	164
31	35	34
76	15	2
60	61	12
34	98	10
64	121	34
84	196	9
26	36	89
113	167	186
96	33	2
93	190	41
185	0	57
139	205	79
123	8	111
150	11	174
43	190	0
96	83	6
159	157	2
83	88	2
162	3	53
107	119	37
116	39	4
173	38	5
38	144	52
198	10	197
76	47	55
101	178	55
93	7	24
180	11	67
144	45	40
76	98	23
41	78	13
173	162	13
165	13	10
111	9	27
92	8	6
173	64	3
56	177	28
126	4	23
97	138	168
37	9	92
184	58	75
84	104	98
109	63	86
20	163	5
104	102	2
76	78	207
68	10	207
102	99	63
116	147	11
119	32	36
133	7	6
100	8	7
110	104	3
46	0	17
123	83	1
29	59	34
96	118	0
117	90	72
153	9	1
173	111	6
116	92	27
93	209	55
85	126	10
112	6	1
88	142	13
139	134	46
39	200	40
103	9	11
63	100	6
130	35	127
85	4	110
123	100	73
69	47	10
146	98	3
84	11	183
173	81	7
85	8	38
97	110	5
84	140	53
160	11	46
169	0	41
122	5	192
78	11	12
116	71	6
40	80	169
91	13	51
93	50	17
49	8	5
114	145	153
114	3	69
69	178	82
24	25	34
56	8	162
114	8	81
77	13	185
203	6	2
132	191	131
84	7	69
142	11	124
189	186	2
68	43	13
190	44	80
51	78	10
70	10	141
85	199	108
113	133	157
189	160	19
195	8	194
89	37	12
56	43	78
154	4	168
139	5	176
90	1	0
98	4	5
125	11	202
55	7	3
56	117	51
163	1	12
179	8	101
15	16	74
52	10	55
56	185	94
116	109	22
27	119	12
110	10	23
44	200	45
204	79	11
97	39	9
113	112	88
171	167	2
47	144	49
183	13	177
80	112	2
73	99	86
96	182	12
14	13	187
114	24	0
23	35	25
59	8	3
61	205	11
116	130	12
134	167	19
69	209	0
95	10	5
34	95	4
21	9	12
124	87	29
202	80	13
121	125	87
32	31	175
84	8	64
23	121	59
86	146	2
173	101	172
76	126	5
210	10	2
87	21	35
97	95	23
156	166	0
85	152	0
81	6	73
127	125	29
139	202	124
113	102	146
158	103	70
97	189	149
139	3	183
24	21	127
186	179	106
107	9	130
56	142	80
207	117	13
137	1	136
131	5	0
138	137	12
149	9	6
107	30	122
140	8	13
45	9	4
141	140	3
18	50	0
36	1	2
164	163	0
88	44	169
106	165	164
147	132	70
139	9	147
152	191	158
168	158	131
107	154	137
157	155	1
123	7	159
96	155	136
39	120	1
148	103	132
56	10	184
35	7	0
53	148	10
16	160	167
76	148	141
135	129	13
167	4	149
176	82	55
191	4	138
123	71	9
200	52	49
136	133	2
172	171	106
22	91	90
82	8	172
196	195	10
85	11	176
155	154	12
178	11	5
118	91	72
72	9	109
128	179	171
181	165	128
182	181	0
208	165	75
107	182	1
54	11	92
166	13	94
93	181	163
139	68	12
76	13	184
71	189	4
107
46	11	134	1
55	8	18	1
3	7	69	1
120	45	1	1
40	200	45	1
15	10	2	1
122	30	12	1
198	8	194	1
121	59	34	1
33	1	2	1
111	8	6	1
119	37	12	1
27	9	92	1
23	95	4	1
104	98	3	1
112	88	2	1
175	31	26	1
28	13	177	1
17	50	0	1
205	79	11	1
83	6	1	1
187	20	13	1
126	10	5	1
90	91	72	1
73	100	6	1
62	9	1	1
207	78	10	1
102	146	2	1
64	8	3	2
11	68	12	1
99	63	86	1
81	8	7	1
125	87	29	1
117	13	51	1
0	118	1	1
54	208	206	1
78	43	13	1
24	7	0	2
68	11	12	1
145	7	153	1
209	0	55	1
169	44	80	1
6	83	1	1
32	36	89	1
80	142	13	1
88	112	2	1
144	52	49	1
202	11	124	1
159	7	6	2
38	8	5	1
25	35	34	1
127	21	35	1
47	10	55	1
60	201	156	1
110	4	5	3
103	132	70	1
11	9	147	1
158	191	131	1
152	5	0	1
168	4	138	1
155	1	136	1
16	210	74	1
101	8	172	1
157	133	2	1
53	140	3	1
148	10	141	1
162	8	13	1
178	82	55	1
160	167	19	1
179	171	106	1
192	115	5	1
128	165	164	1
69	7	3	3
181	163	0	1
184	13	10	2
151	180	2	1
41	190	0	1
186	167	2	1
23	98	10	1
39	9	4	2
189	4	149	2
14	163	5	1
71	9	6	2
3	196	9	1
11	5	176	1
197	195	10	1
22	9	109	1
182	1	12	3
199	5	108	1
66	135	193	1
105	4	0	1
154	137	12	1
61	65	12	1
161	129	13	1
6	143	2	1
203	204	10	1
130	9	12	1
174	11	67	1
57	166	0	1
185	13	94	1
77	98	59	1
11	3	183	1
8	111	6	1
150	133	163	1
92	11	48	1
58	165	75	1
188	170	2	1
